記事番号,URL,サマリー
0,https://www.bloomberg.co.jp/news/videos/2020-06-12/QBSK3QT1UM0Z01,00:00BNV JP June 2020 “暴力を説いているのではなく平等を訴えているんです” 平和的デモ参加者の声 “みんなの平等を求めてここに立っています 何も言わない善良な警察官や ひどいことを行う悪い警察官に抗議します 彼らには私の顔を覚えて 声を聞いてほしいです”（ニューヨークのデモ参加者 マーカス・アレキサンダー・アンドレ氏） “多くの国民は日々おびえながら街を歩いています 昨日今日ではなく月曜も火曜日もです 警察や嫌がらせ人種差別におびえながら 街を歩いているのです 今週末多くの人がこれを感じ彼らの心にも火をつけたでしょう 変化に期待です”（ワシントンのデモ参加者 ジョージ・ピ
1,https://www.bloomberg.co.jp/news/videos/2020-06-12/QBSJK5T0AFBE01,00:00BNV JP June 2020 “当局に従うため”というズームの姿勢にブーイング ズームのＥ２Ｅ暗号化は有料顧客のみが対象です ネット上の反発の一因は ＣＥＯ兼創業者のエリック・ユアン氏の発言です “我々がそうする理由はズームが悪い目的で使われた場合 ＦＢＩや地元当局と協力したいから” （ズームのエリック・ユアンＣＥＯ） この発言は鈍感だとＳＮＳで多くの非難がありました 全米における抗議運動中の発言でした ズームの利用をやめ他社に変えるユーザーや 定期契約を解約する人も出ています
2,https://www.bloomberg.co.jp/news/videos/2020-06-12/QBSIVKT0G1KW01,00:00BNV JP June 2020 米国とＷＨＯの関係終了で致死的な疾病が懸念されます 国際的な保健組織との関係打ち切りを トランプ大統領が決めました 決定による資金供給の停止で 致死的な疾病の発生を恐れている科学者がいます ポリオや結核などが再流行するかもしれません “非常に失望しています とても重要な多国間の組織から米国が離脱を考えるだけでもです 何の代替案も無しにです 必要なポリオの根絶や他の計画に影響が出る可能性があります” （デービッド・ヘイマン氏） しかし 専門家によると資金は問題の半分にすぎません 米国がもたらす専門知識が 同じぐらい重要なのです
3,https://www.bloomberg.co.jp/news/videos/2020-06-12/QBSI2LT0G1KY01,00:00BNV JP June 2020 香港行政長官が米国を“二重基準”と非難 “ここ数週間で非常に鮮明なのは二重基準があることです 米国で騒動があり 地方政府がどう対応したか私たちは見ています 香港で似た騒動があった時の米国の姿勢も見ました” （キャリー・ラム行政長官） “香港に対して制裁を科す正当な理由は一切ありません いかなる政府にも経済にもありません 香港への国家安全法の導入に向け 中央政府や中央当局は 正当な手順を踏んでいるからです”
4,https://www.bloomberg.co.jp/news/videos/2020-06-11/QBQQVQT0AFBP01,00:00BNV JP June 2020 “当社は懸命に取り組んできました 方針やシステムを公平で中立一貫して作るためにです グローバル企業なので 方針はグローバルレベルで決め実行します ある特定の動画の対処方法に問題がある場合には 申し立てできます ユーチューブやＳＮＳが可能にしたと言えます 幅広く意見を出し対話に参加することをね 多様な意見が 見られるようになったことは誇りです”（ウォジッキＣＥＯ） “その件は御社の課題です（ルーベンスタイン氏） ソーシャルメディアへの大統領令が出たのは恐らく ツイッターによる大統領選へのコメントにあるでしょう 御社は中国のある出来事でニュースになりまし
5,https://www.bloomberg.co.jp/news/videos/2020-06-11/QBQQ4KT1UM0Y01,00:00BNV JP June 2020 “Ｖ字回復するでしょう 市場の動きがそうなっています 世界中の市場を見ると 20～30％ぐらい上昇しています 新興国と先進国の両方の市場においてです だから 実際にＶ字回復が期待できます”（モビアス氏） “金融市場は中央銀行に動かされています そうなっているのは明らかです 隔たりがあります 実体経済や 市中で実感する社会経済的な影響と違っています 米国では人種差別を巡る運動が起きましたが 市場は この動きを傍観しています 市場や投資家は知っているからです 中央銀行が市場を支えていることをです 最終的にこの状況は破綻しますか？”（ジョンソン） “そう思
6,https://www.bloomberg.co.jp/news/videos/2020-06-11/QBQPDLT0AFB501,00:00BNV JP June 2020 米紙記者たちが編集者に抗議 ニューヨーク・タイムズと フィラデルフィア・インクワイアラーが 自社の記者から反発を受けています 発生している抗議デモの報道を巡る問題です ニューヨーク・タイムズは トム・コットン上院議員の論説を掲載しました “軍隊を送り込め”という見出しの内容に 社内から批判が出ています 当初 ニューヨーク・タイムズは掲載を擁護していましたが 方針転換に踏み切りました “慌ただしい編集プロセスにより 基準を満たさない寄稿が掲載されてしまいました” （アイリーン・マーフィー広報担当） 一方 フィラデルフィア・インクワイアラーの記者は “う
7,https://www.bloomberg.co.jp/news/videos/2020-06-11/QBQP23T1UM0X01,00:00BNV JP June 2020 “ハスの生産者であることに誇りを感じます 新型コロナウイルスから身を守るものに 使用されているのです” ハスの茎から作ったマスク （カンボジア シェムリアップ） “我々サマトア社は環境に配慮し 天然の繊維を使っています（管理者 アリス・サムナン氏） 化学製品は含まれていません 新型コロナウイルス以前は カポック バナナ ハスから織物を作っていました ハスは吸水性 速乾性があり 通気性の良い繊維ができます 通常のマスクよりは高価ですが 100～200回洗って繰り返し使用できます 米国やフランスオーストラリアに輸出しています 最近では大量のマスクを製作し
8,https://www.bloomberg.co.jp/news/videos/2020-06-10/QBOYDHT0AFB401,00:00BNV JP June 2020 コロナウイルス下の生活は暮らしの多くを変えつつあり それをテクノロジーが支えています “テクノロジーの長期トレンドは変わる人々の行動を いかに後押しをするかです”（ＩＢＭ元ＣＥＯ） テクノロジーは特に食料や雑貨の買い物方法を変えています しかし 買い物より大きく変化しているのが働き方です 多くの人が会社支給の電話やＶＰＮ接続を利用し働いています “１日に８億件の接続があり大きく増加しました 在宅勤務によりＶＰＮ接続は 50％増加しています”（ベライゾンＣＥＯ） ウェブエックスやズームなどのサービスを使い 我々は１日に何回テレビ会議をしているでしょう 
9,https://www.bloomberg.co.jp/news/videos/2020-06-10/QBOXVPDWX2PT01,00:00BNV JP June 2020 インドを襲う最悪の嵐 過去数十年で最多のバッタが発生しました 新型ウイルスや熱波との同時発生です “バッタは８日間以上いれば卵を生み始め 我々の脅威となります”（政府職員プリーティ・ビセ氏） 大音量で音楽を流す村もあります 虫の大群を追い払うためです
