総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,,海外渡航歴,調査中,,,,,,,
117,36,,1,80,1,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場<属性>18〇年代",が,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,2,19,21,18,17,15,15,7,3,0,0
うち重症者
1
男性,女性,不明
73,44,0
総数(累計),重症者,退院(累計)
890,22,74
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
4,20,58,38,6,25,10,13,30,34,19
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
79,26,24,37,14,7,3,13,34,12,16
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
11,5,0,4,7,1,1,1,1,10,2
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
3,4,0,0,0,0,3,1,0,2,0
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,3,3,0,9,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中,,
0,0,0,0,0,0,0,22,158,,
