◆令和2年4月13日 18時30分時点
""
"",総数,(内訳),うち重症者,,,,,,,,,
"",,濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
"",91,14,1,76,2,,,,,,,
"","※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
"",<,,,,,,,,,,,
"",〇,,,,,,,,,,,
"",10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
"",1,1,19,17,16,25,6,5,1,0,0,0
うち重症者
2
男性,女性,不明
58,32,1
2 都内患者数,,
総数(累計),重症者,退院(累計)
"2,158",40,94
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
11,36,158,164,23,47,26,51,90,63,66
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
195,71,66,92,49,20,13,46,59,45,44
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
43,16,8,7,13,2,10,3,12,22,8
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
6,11,1,3,2,0,7,4,5,5,1
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
5,4,5,1,11,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,52,365,,
