総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
161,53,3,105,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場<属性>42〇年代",があ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
2,1,29,26,43,28,19,11,0,1,0,1
うち重症者
0
男性,女性,不明
99,61,1
総数(累計),重症者,退院(累計)
"2,319",40,99
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
12,39,163,177,23,47,28,52,94,72,67
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
205,72,67,97,49,23,13,47,60,46,44
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
43,19,8,7,14,2,14,3,13,23,8
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
6,12,3,3,3,0,7,4,6,6,1
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
7,5,5,1,13,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,58,367,,
