総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
127,45,2,80,1,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>21〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
3,0,19,14,22,25,17,13,14,0,0,0
うち重症者
1
男性,女性,不明
69,58,0
総数(累計),重症者,退院(累計)
"2,446",42,105
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
12,51,168,180,26,49,35,56,104,76,71
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
234,81,70,107,62,30,13,50,67,50,46
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
47,20,8,8,14,2,15,3,15,24,8
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
6,12,4,3,3,0,7,4,6,7,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
8,6,5,1,13,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,60,371,,
