"",,,,,,,,,,,
総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
188,39,2,147,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>28〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
0,2,48,44,29,32,17,9,5,1,0,1
""
うち重症者
0
男性,女性,不明
112,68,8
総数(累計),重症者,退院(累計)
"1,704",31,92
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
9,31,126,99,16,40,21,39,56,54,52
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
147,53,50,77,39,16,8,32,52,33,34
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
21,11,5,5,12,1,6,3,8,20,5
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
6,9,1,3,2,0,5,3,2,2,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,3,5,1,10,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,46,236,,
