総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
197,43,3,152,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
1,5,34,38,47,45,18,9,0,0,0,0
うち重症者
0
男性,女性,不明
115,77,5
総数(累計),重症者,退院(累計)
"1,902",34,92
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
10,33,143,133,20,42,24,44,70,56,58
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
173,64,53,85,45,17,10,37,54,35,35
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
25,13,5,6,12,1,6,3,9,20,8
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
6,10,1,3,2,0,6,4,3,3,1
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,4,5,1,10,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,48,249,,
