総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
132,52,7,77,1,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
8,2,32,24,11,25,8,14,6,2,0,0
うち重症者
1
男性,女性,不明
66,66,0
総数(累計),重症者,死亡(累計),退院(累計)
"3,439",62,81,643
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
19,70,224,259,50,59,64,81,141,102,100
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
314,132,93,154,93,51,17,75,114,76,81
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
87,35,13,14,22,3,33,6,26,34,10
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
13,16,5,7,4,1,11,5,11,12,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
21,6,5,3,26,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,86,421,,
