総数,(内訳),うち重症者,,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,,
159,85,0,74,0,,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場<属性>18〇年代",があ,,,,,,,,,,,
<,,,,,,,,,,,,
〇,,,,,,,,,,,,
10歳未満,10代,20代,,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
2,7,29,,19,19,27,21,15,10,8,0,2
うち重症者
0
男性,女性,,不明
68,91,,0
総数(累計),重症者,死亡(累計),退院(累計)
"4,476",100,141,"1,550"
千代田,中央,港,,新宿,文京,台東,墨田,江東,品川,目黒,大田
27,88,270,,311,61,74,113,113,169,123,153
世田谷,渋谷,中野,,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
393,154,158,,192,123,74,35,92,172,106,100
江戸川,八王子,立川,,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
116,39,13,,16,26,3,55,8,34,43,14
小平,日野,東村山,,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
16,18,8,,11,6,1,13,6,11,12,1
多摩,稲城,羽村,,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
29,9,5,,7,34,1,0,0,0,0,0
新島,神津島,三宅,,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,,0,0,0,0,134,527,,
