◆令和2年4月1日 18時30分時点
""
"",総数,(内訳),うち重症者,,,,,,,,,
"",,濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
"",66,23,5,38,1,,,,,,,
"","※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>〇年代",あ,,,,,,,,,,
"",<,,,,,,,,,,,
"",〇,,,,,,,,,,,
"",10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
"",0,1,10,16,18,11,8,2,0,0,0,0
うち重症者
1
男性,女性,不明
49,17,0
総数,重症者,退院
587,17,56
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
3,19,39,22,4,15,5,10,24,21,15
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
44,18,15,28,9,4,2,4,20,8,6
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
8,4,0,3,7,1,1,0,1,6,1
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
1,3,0,0,0,0,0,1,0,1,0
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,1,3,0,8,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,20,116,,
