総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
181,58,1,122,1,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場合<属性>5219〇年代",あ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
4,3,18,41,36,29,20,18,10,1,0,1
うち重症者
1
男性,女性,不明
117,58,6
総数(累計),重症者,退院(累計)
"1,519",30,88
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
9,31,107,84,12,35,14,26,56,51,51
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
124,49,46,76,31,13,7,30,48,28,29
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
18,11,3,5,12,1,5,3,6,20,5
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留,武蔵村山
5,8,1,2,0,0,5,3,1,2,1
多摩,稲城,羽村,あきる,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
0,3,5,1,10,0,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,42,203,,
