総数,(内訳),うち重症者,,,,,,,,,
"",濃厚接触者※1,海外渡航歴,調査中,,,,,,,,
103,42,0,61,0,,,,,,,
"※1濃厚接触者:確定患者との接触歴があるもの*2つの欄に該当する場合があるため、内訳と総数が一致しない場<属性>〇年代",があ,,,,,,,,,,
<,,,,,,,,,,,
〇,,,,,,,,,,,
10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,不明
1,3,11,20,13,20,11,7,8,7,0,2
うち重症者
0
男性,女性,不明
49,54,0
総数(累計),重症者,死亡(累計),退院(累計)
"3,836",62,100,970
千代田,中央,港,新宿,文京,台東,墨田,江東,品川,目黒,大田
23,79,251,279,54,64,78,93,153,104,138
世田谷,渋谷,中野,杉並,豊島,北,荒川,板橋,練馬,足立,葛飾
338,142,147,165,108,60,22,81,150,86,90
江戸川,八王子,立川,武蔵野,三鷹,青梅,府中,昭島,調布,町田,小金井
100,36,13,14,24,3,40,6,30,36,12
小平,日野,東村山,国分寺,国立,福生,狛江,東大和,清瀬,東久留米,武蔵村山
15,16,6,10,4,1,11,6,11,12,1
多摩,稲城,羽村,あきる野,西東京,瑞穂,日の出,檜原,奥多摩,大島,利島
24,8,5,5,28,1,0,0,0,0,0
新島,神津島,三宅,御蔵島,八丈,青ヶ島,小笠原,都外,調査中※,,
0,0,0,0,0,0,0,110,440,,
