,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,
ì˙ïtÅiî≠ï\î‘çÜÅj,3.31(144),4.1(146Åj,4.2(148),4.3(150),4.4(153),4.5(158),4.6(162),4.7(170),4.8(173),4.9(186),4.10(188),4.11(191 ),4.12(194),4.13(199),4.14(206),4.15(214),4.16(217),4.17(220),4.18(223),4.19(226),4.20(230),4.21(240),4.22(252),4.23(258),4.24(262),4.25(264),4.26(271),4.27(277),4.28(280),4.29Åi287),4.30(293),5.1(295),5.2(297),5.3(300),5.4(306),5.5(309),5.6(314),5.7(317),5.8(322),5.9(324),5.10(329),*5.11(335),*5.12(340),*5.13(343),*5.14(350),*5.15(353),*516(355),*5.17(358),*5.18(368),*5.19(374),*5.20(379),*5.21(385),*5.22(388),*5.23(390),*5.24(395),*5.25(403),*5.26(412),*5.27(417)
êÁë„ìcãÊ,3,3,4,4,5,6,7,9,9,9,10,10,11,12,12,16,18,19,19,19,19,19,22,22,23,23,23,23,24,24,24,27,28,30,31,36,36,36,36,36,37,41,41,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43
íÜâõãÊ,19,19,19,20,21,25,28,29,31,31,33,35,36,39,51,53,56,58,65,67,68,70,73,74,79,79,80,84,87,87,87,88,89,89,90,93,93,93,93,93,93,97,110,110,110,110,111,111,112,112,112,111,111,111,112,112,112,112
ç`ãÊ,39,40,50,58,67,83,87,89,107,126,143,155,158,163,168,172,179,197,208,212,215,224,238,242,251,251,261,261,264,266,268,270,273,285,289,292,292,292,292,292,294,308,308,308,308,308,308,308,308,309,309,309,309,309,309,309,309,312
êVèhãÊ,22,30,36,38,39,60,72,80,84,99,133,139,164,177,180,187,205,219,227,227,255,259,260,267,279,282,289,296,299,299,304,311,323,329,336,338,353,353,358,362,363,375,389,389,394,395,397,398,399,400,402,406,407,407,412,412,412,413
ï∂ãûãÊ,4,4,4,6,7,8,8,10,12,16,20,22,23,23,26,28,36,39,41,45,46,50,51,53,54,57,59,59,60,60,60,61,62,63,70,75,76,78,79,79,79,86,90,90,91,91,92,92,93,93,93,94,94,94,94,94,94,94
ë‰ìåãÊ ,15,19,23,25,27,29,31,32,35,40,42,46,47,47,49,49,53,53,55,59,59,59,59,60,64,65,65,65,66,66,66,74,75,75,75,76,76,76,77,77,78,172,172,172,172,172,172,172,172,172,172,171,171,171,171,172,172,172
ñnìcãÊ,5,5,7,10,11,11,11,14,14,21,24,25,26,28,35,36,47,48,51,57,60,64,67,74,78,85,86,87,93,95,95,113,116,116,116,121,121,121,125,127,128,142,143,146,146,146,146,146,147,147,147,152,152,152,152,152,152,152
ç]ìåãÊ,10,12,12,13,14,22,22,23,26,39,44,51,51,52,56,57,59,65,68,73,75,81,85,88,93,95,101,101,104,105,106,113,119,126,128,132,135,136,138,138,139,212,212,212,216,216,219,219,220,220,220,221,221,221,222,226,226,226
ïiêÏãÊ,24,24,29,30,38,41,41,49,56,56,70,84,90,94,104,104,111,123,130,132,138,141,145,150,153,155,156,156,161,167,167,169,170,174,177,178,178,178,178,179,179,180,184,184,184,184,184,185,185,185,186,187,187,187,188,188,188,188
ñ⁄çïãÊ,21,23,29,34,40,42,44,49,51,54,56,58,63,72,76,80,83,92,94,97,101,102,102,103,104,109,109,115,115,115,121,123,126,128,129,130,131,135,135,135,136,162,162,163,163,163,163,163,163,163,163,164,164,164,164,164,165,165
ëÂìcãÊ,15,16,18,19,28,37,44,45,51,52,58,65,66,67,71,77,79,79,90,96,97,100,109,120,138,140,140,140,142,146,148,153,177,191,197,197,197,197,200,202,202,235,238,238,239,239,239,240,240,241,241,245,245,245,245,245,245,246
ê¢ìcíJãÊ,44,54,67,79,93,104,113,118,124,147,173,191,195,205,234,243,247,259,277,293,305,314,317,326,338,349,358,366,377,379,384,393,401,406,415,414,415,417,424,425,430,450,451,451,453,454,455,455,456,457,458,458,458,459,459,459,460,462
èaíJãÊ ,18,21,24,26,32,37,39,41,49,53,64,69,71,72,81,89,94,105,113,118,119,132,133,138,142,145,147,149,152,153,153,154,158,160,160,163,164,165,167,171,171,172,175,175,175,175,176,176,176,176,176,177,177,177,177,177,178,178
